x   y   cp calc   cp theor pol   cp theor cart
1.99597   0.0896393   0.991966   0.991949   0.991965
1.9799   0.268196   0.92796   0.927926   0.928071
1.94789   0.444594   0.80199   0.801938   0.802336
1.9002   0.617412   0.618098   0.618034   0.618803
1.8372   0.785259   0.382194   0.382125   0.383369
1.75942   0.946783   0.101861   0.101794   0.103602
1.66747   1.10068   -0.213891   -0.21395   -0.211506
1.56209   1.24572   -0.554912   -0.554958   -0.551828
1.44413   1.38073   -0.910242   -0.91027   -0.906425
1.31455   1.50463   -1.26846   -1.26847   -1.2639
1.17439   1.6164   -1.61805   -1.61803   -1.61276
1.02477   1.71517   -1.94778   -1.94774   -1.9418
0.866894   1.80012   -2.24705   -2.24698   -2.24044
0.702042   1.87058   -2.50624   -2.50614   -2.49909
0.531538   1.92598   -2.71703   -2.7169   -2.70942
0.356754   1.96588   -2.87263   -2.87247   -2.86468
0.179098   1.98994   -2.96804   -2.96786   -2.95987
1.249e-16   1.99799   -3.00021   -3   -2.99195
-0.179098   1.98994   -2.96809   -2.96786   -2.95987
-0.356754   1.96588   -2.87272   -2.87247   -2.86468
-0.531538   1.92598   -2.71717   -2.7169   -2.70942
-0.702042   1.87058   -2.50643   -2.50614   -2.49909
-0.866894   1.80012   -2.24728   -2.24698   -2.24044
-1.02477   1.71517   -1.94804   -1.94774   -1.9418
-1.17439   1.6164   -1.61834   -1.61803   -1.61276
-1.31455   1.50463   -1.26878   -1.26847   -1.2639
-1.44413   1.38073   -0.910574   -0.91027   -0.906425
-1.56209   1.24572   -0.555253   -0.554958   -0.551828
-1.66747   1.10068   -0.214231   -0.21395   -0.211506
-1.75942   0.946783   0.101532   0.101794   0.103602
-1.8372   0.785259   0.381888   0.382125   0.383369
-1.9002   0.617412   0.617829   0.618034   0.618803
-1.94789   0.444594   0.801772   0.801938   0.802336
-1.9799   0.268196   0.927812   0.927926   0.928071
-1.99597   0.0896393   0.991906   0.991949   0.991965
-1.99597   -0.0896393   0.992031   0.992015   0.991965
-1.9799   -0.268196   0.92818   0.928123   0.928071
-1.94789   -0.444594   0.802342   0.802259   0.802336
-1.9002   -0.617412   0.618569   0.61847   0.618803
-1.8372   -0.785259   0.382769   0.382661   0.383369
-1.75942   -0.946783   0.102518   0.102412   0.103602
-1.66747   -1.10068   -0.213176   -0.213268   -0.211506
-1.56209   -1.24572   -0.554167   -0.554236   -0.551828
-1.44413   -1.38073   -0.909496   -0.90953   -0.906425
-1.31455   -1.50463   -1.26774   -1.26773   -1.2639
-1.17439   -1.6164   -1.61739   -1.61733   -1.61276
-1.02477   -1.71517   -1.9472   -1.94708   -1.9418
-0.866894   -1.80012   -2.24658   -2.2464   -2.24044
-0.702042   -1.87058   -2.5059   -2.50566   -2.49909
-0.531538   -1.92598   -2.71683   -2.71652   -2.70942
-0.356754   -1.96588   -2.87258   -2.87221   -2.86468
-0.179098   -1.98994   -2.96815   -2.96773   -2.95987
-3.60822e-16   -1.99799   -3.00048   -3   -2.99195
0.179098   -1.98994   -2.96851   -2.96799   -2.95987
0.356754   -1.96588   -2.87328   -2.87273   -2.86468
0.531538   -1.92598   -2.71784   -2.71728   -2.70942
0.702042   -1.87058   -2.5072   -2.50663   -2.49909
0.866894   -1.80012   -2.24812   -2.24756   -2.24044
1.02477   -1.71517   -1.94894   -1.94839   -1.9418
1.17439   -1.6164   -1.61925   -1.61874   -1.61276
1.31455   -1.50463   -1.26967   -1.2692   -1.2639
1.44413   -1.38073   -0.911425   -0.911011   -0.906425
1.56209   -1.24572   -0.556034   -0.555681   -0.551828
1.66747   -1.10068   -0.214919   -0.214632   -0.211506
1.75942   -0.946783   0.100957   0.101175   0.103602
1.8372   -0.785259   0.381438   0.381589   0.383369
1.9002   -0.617412   0.617508   0.617598   0.618803
1.94789   -0.444594   0.801578   0.801616   0.802336
1.9799   -0.268196   0.927726   0.927728   0.928071
1.99597   -0.0896393   0.991888   0.991882   0.991965
