x   y   cp calc   cp theor pol   cp theor cart
1.99452   0.104528   0.989065   0.989044   0.989074
1.97267   0.31244   0.902153   0.902113   0.902381
1.9292   0.516929   0.732109   0.732051   0.732785
1.8646   0.715754   0.486357   0.48629   0.487697
1.77957   0.906737   0.175638   0.175571   0.177829
1.67504   1.08779   -0.186467   -0.186527   -0.183277
1.55216   1.25692   -0.584132   -0.584177   -0.579837
1.41228   1.41228   -0.999977   -1   -0.994522
1.25692   1.55216   -1.41583   -1.41582   -1.40921
1.08779   1.67504   -1.81351   -1.81347   -1.80577
0.906737   1.77957   -2.17564   -2.17557   -2.16687
0.715754   1.8646   -2.48639   -2.48629   -2.47674
0.516929   1.9292   -2.73218   -2.73205   -2.72183
0.31244   1.97267   -2.90228   -2.90211   -2.89142
0.104528   1.99452   -2.98924   -2.98904   -2.97812
-0.104528   1.99452   -2.98927   -2.98904   -2.97812
-0.31244   1.97267   -2.90236   -2.90211   -2.89142
-0.516929   1.9292   -2.73232   -2.73205   -2.72183
-0.715754   1.8646   -2.48658   -2.48629   -2.47674
-0.906737   1.77957   -2.17587   -2.17557   -2.16687
-1.08779   1.67504   -1.81378   -1.81347   -1.80577
-1.25692   1.55216   -1.41613   -1.41582   -1.40921
-1.41228   1.41228   -1.00031   -1   -0.994522
-1.55216   1.25692   -0.584473   -0.584177   -0.579837
-1.67504   1.08779   -0.186807   -0.186527   -0.183277
-1.77957   0.906737   0.175313   0.175571   0.177829
-1.8646   0.715754   0.486064   0.48629   0.487697
-1.9292   0.516929   0.731867   0.732051   0.732785
-1.97267   0.31244   0.901985   0.902113   0.902381
-1.99452   0.104528   0.988995   0.989044   0.989074
-1.99452   -0.104528   0.989139   0.989121   0.989074
-1.97267   -0.31244   0.902407   0.902342   0.902381
-1.9292   -0.516929   0.732514   0.732421   0.732785
-1.8646   -0.715754   0.486894   0.486786   0.487697
-1.77957   -0.906737   0.176281   0.17617   0.177829
-1.67504   -1.08779   -0.185752   -0.18585   -0.183277
-1.55216   -1.25692   -0.583381   -0.583452   -0.579837
-1.41228   -1.41228   -0.999229   -0.999259   -0.994522
-1.25692   -1.55216   -1.41512   -1.4151   -1.40921
-1.08779   -1.67504   -1.81288   -1.8128   -1.80577
-0.906737   -1.77957   -2.17513   -2.17497   -2.16687
-0.715754   -1.8646   -2.48603   -2.48579   -2.47674
-0.516929   -1.9292   -2.73199   -2.73168   -2.72183
-0.31244   -1.97267   -2.90226   -2.90188   -2.89142
-0.104528   -1.99452   -2.98941   -2.98897   -2.97812
0.104528   -1.99452   -2.98962   -2.98912   -2.97812
0.31244   -1.97267   -2.90288   -2.90234   -2.89142
0.516929   -1.9292   -2.73298   -2.73242   -2.72183
0.715754   -1.8646   -2.48736   -2.48679   -2.47674
0.906737   -1.77957   -2.17673   -2.17617   -2.16687
1.08779   -1.67504   -1.81468   -1.81415   -1.80577
1.25692   -1.55216   -1.41704   -1.41655   -1.40921
1.41228   -1.41228   -1.00117   -1.00074   -0.994522
1.55216   -1.25692   -0.585261   -0.584902   -0.579837
1.67504   -1.08779   -0.187486   -0.187204   -0.183277
1.77957   -0.906737   0.174768   0.174971   0.177829
1.8646   -0.715754   0.485667   0.485794   0.487697
1.9292   -0.516929   0.73162   0.73168   0.732785
1.97267   -0.31244   0.901873   0.901884   0.902381
1.99452   -0.104528   0.988972   0.988966   0.989074
