x   y   cp calc   cp theor pol   cp theor cart
1.99803   0.0627905   0.996065   0.996053   0.996057
1.99014   0.188124   0.964598   0.964575   0.964609
1.9744   0.312715   0.902152   0.902113   0.90221
1.95087   0.436071   0.809706   0.809654   0.809842
1.91964   0.557707   0.688717   0.688656   0.688963
1.88083   0.677142   0.541093   0.541026   0.541479
1.8346   0.793904   0.369163   0.369094   0.369717
1.78113   0.907533   0.175639   0.175571   0.176384
1.72063   1.01758   -0.0364283   -0.0364927   -0.03547
1.65334   1.12361   -0.263693   -0.263751   -0.262504
1.57953   1.22521   -0.502572   -0.50262   -0.501138
1.49948   1.32197   -0.749296   -0.749334   -0.747608
1.41352   1.41352   -0.999976   -1   -0.998027
1.32197   1.49948   -1.25066   -1.25067   -1.24845
1.22521   1.57953   -1.49739   -1.49738   -1.49492
1.12361   1.65334   -1.73627   -1.73625   -1.73355
1.01758   1.72063   -1.96355   -1.96351   -1.96058
0.907533   1.78113   -2.17563   -2.17557   -2.17244
0.793904   1.8346   -2.36918   -2.36909   -2.36577
0.677142   1.88083   -2.54113   -2.54103   -2.53753
0.557707   1.91964   -2.68878   -2.68866   -2.68502
0.436071   1.95087   -2.8098   -2.80965   -2.8059
0.312715   1.9744   -2.90228   -2.90211   -2.89826
0.188124   1.99014   -2.96476   -2.96457   -2.96066
0.0627905   1.99803   -2.99625   -2.99605   -2.99211
-0.0627905   1.99803   -2.99627   -2.99605   -2.99211
-0.188124   1.99014   -2.96481   -2.96457   -2.96066
-0.312715   1.9744   -2.90236   -2.90211   -2.89826
-0.436071   1.95087   -2.80991   -2.80965   -2.8059
-0.557707   1.91964   -2.68893   -2.68866   -2.68502
-0.677142   1.88083   -2.54131   -2.54103   -2.53753
-0.793904   1.8346   -2.36939   -2.36909   -2.36577
-0.907533   1.78113   -2.17587   -2.17557   -2.17244
-1.01758   1.72063   -1.96381   -1.96351   -1.96058
-1.12361   1.65334   -1.73656   -1.73625   -1.73355
-1.22521   1.57953   -1.49769   -1.49738   -1.49492
-1.32197   1.49948   -1.25097   -1.25067   -1.24845
-1.41352   1.41352   -1.0003   -1   -0.998027
-1.49948   1.32197   -0.749632   -0.749334   -0.747608
-1.57953   1.22521   -0.502912   -0.50262   -0.501138
-1.65334   1.12361   -0.264033   -0.263751   -0.262504
-1.72063   1.01758   -0.0367626   -0.0364927   -0.03547
-1.78113   0.907533   0.175315   0.175571   0.176384
-1.8346   0.793904   0.368857   0.369094   0.369717
-1.88083   0.677142   0.54081   0.541026   0.541479
-1.91964   0.557707   0.688464   0.688656   0.688963
-1.95087   0.436071   0.809491   0.809654   0.809842
-1.9744   0.312715   0.901984   0.902113   0.90221
-1.99014   0.188124   0.964488   0.964575   0.964609
-1.99803   0.0627905   0.996022   0.996053   0.996057
-1.99803   -0.0627905   0.996112   0.9961   0.996057
-1.99014   -0.188124   0.964756   0.964713   0.964609
-1.9744   -0.312715   0.902405   0.902342   0.90221
-1.95087   -0.436071   0.810048   0.80997   0.809842
-1.91964   -0.557707   0.689144   0.689053   0.688963
