x   y   cp calc   cp theor pol   cp theor cart
1.99912   0.0418757   0.998252   0.998246   0.998246
1.99562   0.125553   0.984244   0.984229   0.984236
1.98861   0.209011   0.956322   0.956295   0.956314
1.97811   0.292102   0.914676   0.914639   0.914676
1.96414   0.37468   0.8596   0.859553   0.859615
1.94673   0.456602   0.791478   0.791424   0.791515
1.9259   0.537722   0.710789   0.710729   0.710855
1.9017   0.617898   0.618099   0.618034   0.618202
1.87415   0.696991   0.514058   0.51399   0.514203
1.84332   0.774861   0.399396   0.399327   0.39959
1.80926   0.851372   0.274917   0.274848   0.275166
1.77202   0.926389   0.141495   0.141427   0.141804
1.73167   0.999781   6.56095e-05   0   0.000438585
1.68829   1.07142   -0.14838   -0.148441   -0.147938
1.64194   1.14118   -0.302799   -0.302856   -0.302284
1.59271   1.20893   -0.46211   -0.46216   -0.461519
1.54069   1.27457   -0.625194   -0.625237   -0.624525
1.48596   1.33797   -0.790907   -0.790943   -0.790158
1.42863   1.39902   -0.958088   -0.958115   -0.957256
1.36879   1.45762   -1.12556   -1.12558   -1.12465
1.30655   1.51366   -1.29216   -1.29217   -1.29116
1.24202   1.56704   -1.45671   -1.4567   -1.45562
1.17531   1.61768   -1.61805   -1.61803   -1.61689
1.10654   1.66548   -1.77506   -1.77503   -1.77381
1.03583   1.71035   -1.92663   -1.92659   -1.92531
0.963296   1.75223   -2.07171   -2.07165   -2.07031
0.889075   1.79103   -2.20926   -2.2092   -2.20779
0.813295   1.82669   -2.33834   -2.33826   -2.3368
0.736088   1.85915   -2.45803   -2.45794   -2.45642
0.657589   1.88834   -2.56749   -2.56739   -2.56582
0.577937   1.91422   -2.66596   -2.66584   -2.66423
0.497271   1.93674   -2.75275   -2.75261   -2.75097
0.415732   1.95587   -2.82724   -2.82709   -2.82541
0.333464   1.97156   -2.88891   -2.88875   -2.88705
0.250611   1.98379   -2.93734   -2.93717   -2.93544
0.167319   1.99255   -2.97217   -2.97199   -2.97025
0.0837329   1.99781   -2.99318   -2.99299   -2.99123
3.46945e-16   1.99956   -3.00021   -3   -2.99825
-0.0837329   1.99781   -2.9932   -2.99299   -2.99123
-0.167319   1.99255   -2.97222   -2.97199   -2.97025
-0.250611   1.98379   -2.9374   -2.93717   -2.93544
-0.333464   1.97156   -2.889   -2.88875   -2.88705
-0.415732   1.95587   -2.82735   -2.82709   -2.82541
-0.497271   1.93674   -2.75288   -2.75261   -2.75097
-0.577937   1.91422   -2.66611   -2.66584   -2.66423
-0.657589   1.88834   -2.56767   -2.56739   -2.56582
-0.736088   1.85915   -2.45822   -2.45794   -2.45642
-0.813295   1.82669   -2.33855   -2.33826   -2.3368
-0.889075   1.79103   -2.20949   -2.2092   -2.20779
-0.963296   1.75223   -2.07195   -2.07165   -2.07031
-1.03583   1.71035   -1.92689   -1.92659   -1.92531
-1.10654   1.66548   -1.77534   -1.77503   -1.77381
-1.17531   1.61768   -1.61834   -1.61803   -1.61689
-1.24202   1.56704   -1.45701   -1.4567   -1.45562
-1.30655   1.51366   -1.29247   -1.29217   -1.29116
-1.36879   1.45762   -1.12589   -1.12558   -1.12465
-1.42863   1.39902   -0.958417   -0.958115   -0.957256
-1.48596   1.33797   -0.791241   -0.790943   -0.790158
-1.54069   1.27457   -0.625532   -0.625237   -0.624525
-1.59271   1.20893   -0.462449   -0.46216   -0.461519
-1.64194   1.14118   -0.303138   -0.302856   -0.302284
-1.68829   1.07142   -0.148717   -0.148441   -0.147938
-1.73167   0.999781   -0.000266642   2.22045e-16   0.000438585
-1.77202   0.926389   0.14117   0.141427   0.141804
-1.80926   0.851372   0.274602   0.274848   0.275166
-1.84332   0.774861   0.399093   0.399327   0.39959
-1.87415   0.696991   0.51377   0.51399   0.514203
-1.9017   0.617898   0.61783   0.618034   0.618202
-1.9259   0.537722   0.710541   0.710729   0.710855
