x   y   cp calc   cp theor pol   cp theor cart
1.99883   0.0483134   0.997672   0.997664   0.997666
1.99416   0.144827   0.97903   0.979013   0.979025
1.98484   0.241003   0.941914   0.941884   0.941918
1.97088   0.336616   0.886666   0.886624   0.88669
1.95231   0.431442   0.813801   0.813749   0.813857
1.92919   0.525261   0.723999   0.723939   0.724101
1.90156   0.617854   0.618099   0.618034   0.618257
1.86949   0.709003   0.49709   0.497021   0.497315
1.83305   0.798496   0.362101   0.362032   0.362404
1.79233   0.886124   0.214394   0.214325   0.214784
1.74743   0.971683   0.0553471   0.0552805   0.0558321
1.69844   1.05497   -0.113554   -0.113617   -0.112967
1.64549   1.1358   -0.290733   -0.29079   -0.290037
1.58869   1.21397   -0.474535   -0.474585   -0.473724
1.52819   1.28931   -0.663244   -0.663286   -0.662315
1.46411   1.36163   -0.855098   -0.85513   -0.854047
1.39661   1.43078   -1.04831   -1.04833   -1.04713
1.32586   1.49658   -1.24106   -1.24107   -1.23976
1.252   1.55889   -1.43157   -1.43157   -1.43015
1.17523   1.61756   -1.61805   -1.61803   -1.61651
1.0957   1.67245   -1.79876   -1.79873   -1.7971
1.01362   1.72344   -1.97201   -1.97197   -1.97023
0.929175   1.77039   -2.13619   -2.13613   -2.1343
0.842556   1.81322   -2.28976   -2.28968   -2.28776
0.753969   1.85181   -2.43129   -2.4312   -2.42919
0.663622   1.88607   -2.55945   -2.55935   -2.55727
0.571724   1.91593   -2.67306   -2.67294   -2.6708
0.478492   1.94132   -2.77105   -2.77091   -2.76871
0.384141   1.96217   -2.8525   -2.85235   -2.8501
0.288894   1.97843   -2.91666   -2.91649   -2.9142
0.192971   1.99008   -2.96292   -2.96274   -2.96043
0.0965985   1.99708   -2.99086   -2.99066   -2.98833
1.21431e-16   1.99942   -3.00021   -3   -2.99766
-0.0965985   1.99708   -2.99088   -2.99066   -2.98833
-0.192971   1.99008   -2.96297   -2.96274   -2.96043
-0.288894   1.97843   -2.91673   -2.91649   -2.9142
-0.384141   1.96217   -2.8526   -2.85235   -2.8501
-0.478492   1.94132   -2.77118   -2.77091   -2.76871
-0.571724   1.91593   -2.67321   -2.67294   -2.6708
-0.663622   1.88607   -2.55963   -2.55935   -2.55727
-0.753969   1.85181   -2.43149   -2.4312   -2.42919
-0.842556   1.81322   -2.28998   -2.28968   -2.28776
-0.929175   1.77039   -2.13643   -2.13613   -2.1343
-1.01362   1.72344   -1.97227   -1.97197   -1.97023
-1.0957   1.67245   -1.79903   -1.79873   -1.7971
-1.17523   1.61756   -1.61834   -1.61803   -1.61651
-1.252   1.55889   -1.43187   -1.43157   -1.43015
-1.32586   1.49658   -1.24138   -1.24107   -1.23976
-1.39661   1.43078   -1.04863   -1.04833   -1.04713
-1.46411   1.36163   -0.855431   -0.85513   -0.854047
-1.52819   1.28931   -0.663582   -0.663286   -0.662315
-1.58869   1.21397   -0.474875   -0.474585   -0.473724
