x   y   cp calc   cp theor pol   cp theor cart
1.99692   0.0784591   0.993849   0.993835   0.993844
1.98461   0.234894   0.94477   0.94474   0.944825
1.96006   0.38988   0.847807   0.847759   0.847994
1.92343   0.542462   0.70534   0.70528   0.705735
1.87494   0.6917   0.520879   0.520812   0.521551
1.81489   0.836674   0.298965   0.298896   0.299977
1.74365   0.976489   0.0450631   0.0449971   0.0464691
1.66166   1.11028   -0.234575   -0.234633   -0.23273
1.56942   1.23723   -0.533062   -0.533109   -0.530746
1.46751   1.35655   -0.84305   -0.843082   -0.840241
1.35655   1.46751   -1.1569   -1.15692   -1.15359
1.23723   1.56942   -1.4669   -1.46689   -1.46309
1.11028   1.66166   -1.76539   -1.76537   -1.7611
0.976489   1.74365   -2.04505   -2.045   -2.0403
0.836674   1.81489   -2.29897   -2.2989   -2.29381
0.6917   1.87494   -2.52091   -2.52081   -2.51539
0.542462   1.92343   -2.70541   -2.70528   -2.69957
0.38988   1.96006   -2.84791   -2.84776   -2.84183
0.234894   1.98461   -2.94491   -2.94474   -2.93866
0.0784591   1.99692   -2.99403   -2.99383   -2.98768
-0.0784591   1.99692   -2.99405   -2.99383   -2.98768
-0.234894   1.98461   -2.94498   -2.94474   -2.93866
-0.38988   1.96006   -2.84802   -2.84776   -2.84183
-0.542462   1.92343   -2.70555   -2.70528   -2.69957
-0.6917   1.87494   -2.5211   -2.52081   -2.51539
-0.836674   1.81489   -2.29919   -2.2989   -2.29381
-0.976489   1.74365   -2.0453   -2.045   -2.0403
-1.11028   1.66166   -1.76567   -1.76537   -1.7611
-1.23723   1.56942   -1.4672   -1.46689   -1.46309
-1.35655   1.46751   -1.15723   -1.15692   -1.15359
-1.46751   1.35655   -0.843384   -0.843082   -0.840241
-1.56942   1.23723   -0.533403   -0.533109   -0.530746
-1.66166   1.11028   -0.234915   -0.234633   -0.23273
-1.74365   0.976489   0.0447316   0.0449971   0.0464691
-1.81489   0.836674   0.298651   0.298896   0.299977
-1.87494   0.6917   0.520592   0.520812   0.521551
-1.92343   0.542462   0.705091   0.70528   0.705735
-1.96006   0.38988   0.847608   0.847759   0.847994
-1.98461   0.234894   0.944637   0.94474   0.944825
-1.99692   0.0784591   0.993796   0.993835   0.993844
-1.99692   -0.0784591   0.993907   0.993893   0.993844
-1.98461   -0.234894   0.944964   0.944913   0.944825
-1.96006   -0.38988   0.848117   0.848043   0.847994
-1.92343   -0.542462   0.705759   0.705668   0.705735
-1.87494   -0.6917   0.521396   0.521293   0.521551
-1.81489   -0.836674   0.299565   0.29946   0.299977
-1.74365   -0.976489   0.0457297   0.0456291   0.0464691
-1.66166   -1.11028   -0.233861   -0.233948   -0.23273
-1.56942   -1.23723   -0.532322   -0.532389   -0.530746
-1.46751   -1.35655   -0.842306   -0.842343   -0.840241
-1.35655   -1.46751   -1.15618   -1.15618   -1.15359
-1.23723   -1.56942   -1.46621   -1.46617   -1.46309
-1.11028   -1.66166   -1.76477   -1.76468   -1.7611
-0.976489   -1.74365   -2.04451   -2.04437   -2.0403
-0.836674   -1.81489   -2.29853   -2.29833   -2.29381
-0.6917   -1.87494   -2.52058   -2.52033   -2.51539
-0.542462   -1.92343   -2.7052   -2.70489   -2.69957
-0.38988   -1.96006   -2.84784   -2.84748   -2.84183
-0.234894   -1.98461   -2.94498   -2.94457   -2.93866
-0.0784591   -1.99692   -2.99424   -2.99378   -2.98768
0.0784591   -1.99692   -2.99439   -2.99389   -2.98768
0.234894   -1.98461   -2.94544   -2.94491   -2.93866
0.38988   -1.96006   -2.8486   -2.84804   -2.84183
0.542462   -1.92343   -2.70624   -2.70567   -2.69957
0.6917   -1.87494   -2.52187   -2.52129   -2.51539
0.836674   -1.81489   -2.30003   -2.29946   -2.29381
0.976489   -1.74365   -2.04618   -2.04563   -2.0403
1.11028   -1.66166   -1.76658   -1.76605   -1.7611
1.23723   -1.56942   -1.46811   -1.46761   -1.46309
1.35655   -1.46751   -1.15811   -1.15766   -1.15359
1.46751   -1.35655   -0.844224   -0.843821   -0.840241
1.56942   -1.23723   -0.534179   -0.53383   -0.530746
1.66166   -1.11028   -0.235608   -0.235318   -0.23273
1.74365   -0.976489   0.0441346   0.0443651   0.0464691
1.81489   -0.836674   0.298161   0.298332   0.299977
1.87494   -0.6917   0.520215   0.52033   0.521551
1.92343   -0.542462   0.704828   0.704893   0.705735
1.96006   -0.38988   0.847451   0.847475   0.847994
1.98461   -0.234894   0.944569   0.944567   0.944825
1.99692   -0.0784591   0.993783   0.993776   0.993844
