x   y   cp calc   cp theor pol   cp theor cart
1.99837   0.0570888   0.996748   0.996738   0.996741
1.99185   0.17108   0.970729   0.970708   0.970732
1.97884   0.284514   0.919022   0.918986   0.919052
1.95937   0.397019   0.842296   0.842247   0.842376
1.9335   0.508229   0.74155   0.741492   0.741703
1.90134   0.617782   0.618099   0.618034   0.618345
1.86297   0.725319   0.473551   0.473482   0.473912
1.81852   0.830491   0.309791   0.309721   0.310284
1.76814   0.932954   0.128954   0.128886   0.129597
1.712   1.03237   -0.0666016   -0.0666654   -0.0657955
1.65027   1.12843   -0.274327   -0.274385   -0.273345
1.58316   1.2208   -0.491514   -0.491563   -0.490347
1.51088   1.30919   -0.715331   -0.71537   -0.713972
1.43368   1.39331   -0.94286   -0.942888   -0.941304
1.3518   1.47288   -1.17114   -1.17115   -1.16938
1.26551   1.54765   -1.39718   -1.39718   -1.39523
1.17509   1.61737   -1.61805   -1.61803   -1.6159
1.08084   1.68182   -1.83086   -1.83083   -1.82852
0.983065   1.74078   -2.03284   -2.03279   -2.03032
0.882082   1.79406   -2.22136   -2.2213   -2.21867
0.778223   1.8415   -2.39396   -2.39388   -2.39111
0.671825   1.88292   -2.54839   -2.54828   -2.54539
0.563235   1.9182   -2.68263   -2.68251   -2.6795
0.452809   1.94723   -2.79494   -2.7948   -2.7917
0.340905   1.9699   -2.88385   -2.88369   -2.88052
0.22789   1.98615   -2.9482   -2.94802   -2.9448
0.114131   1.99592   -2.98715   -2.98696   -2.98371
3.43475e-16   1.99918   -3.00021   -3   -2.99674
-0.114131   1.99592   -2.98719   -2.98696   -2.98371
-0.22789   1.98615   -2.94826   -2.94802   -2.9448
-0.340905   1.9699   -2.88394   -2.88369   -2.88052
-0.452809   1.94723   -2.79506   -2.7948   -2.7917
-0.563235   1.9182   -2.68278   -2.68251   -2.6795
-0.671825   1.88292   -2.54856   -2.54828   -2.54539
-0.778223   1.8415   -2.39416   -2.39388   -2.39111
-0.882082   1.79406   -2.22159   -2.2213   -2.21867
-0.983065   1.74078   -2.0331   -2.03279   -2.03032
-1.08084   1.68182   -1.83113   -1.83083   -1.82852
-1.17509   1.61737   -1.61834   -1.61803   -1.6159
-1.26551   1.54765   -1.39749   -1.39718   -1.39523
-1.3518   1.47288   -1.17146   -1.17115   -1.16938
-1.43368   1.39331   -0.94319   -0.942888   -0.941304
-1.51088   1.30919   -0.715668   -0.71537   -0.713972
-1.58316   1.2208   -0.491854   -0.491563   -0.490347
-1.65027   1.12843   -0.274667   -0.274385   -0.273345
-1.712   1.03237   -0.0669368   -0.0666654   -0.0657955
-1.76814   0.932954   0.128628   0.128886   0.129597
-1.81852   0.830491   0.309478   0.309721   0.310284
-1.86297   0.725319   0.473257   0.473482   0.473912
-1.90134   0.617782   0.617829   0.618034   0.618345
-1.9335   0.508229   0.741311   0.741492   0.741703
-1.95937   0.397019   0.842094   0.842247   0.842376
-1.97884   0.284514   0.918866   0.918986   0.919052
-1.99185   0.17108   0.970627   0.970708   0.970732
-1.99837   0.0570888   0.996709   0.996738   0.996741
-1.99837   -0.0570888   0.996792   0.99678   0.996741
-1.99185   -0.17108   0.970873   0.970834   0.970732
-1.97884   -0.284514   0.919253   0.919195   0.919052
-1.95937   -0.397019   0.842609   0.842536   0.842376
-1.9335   -0.508229   0.741942   0.741857   0.741703
-1.90134   -0.617782   0.618564   0.61847   0.618345
-1.86297   -0.725319   0.474083   0.473983   0.473912
-1.81852   -0.830491   0.310382   0.310282   0.310284
-1.76814   -0.932954   0.129596   0.129498   0.129597
