x   y   cp calc   cp theor pol   cp theor cart
1.99863   0.052336   0.997268   0.997259   0.997261
1.99315   0.156864   0.975396   0.975377   0.975394
1.98221   0.260963   0.931885   0.931852   0.931898
1.96584   0.364346   0.867206   0.867161   0.867252
1.94407   0.466731   0.782068   0.782013   0.782162
1.91698   0.567836   0.677403   0.677341   0.677562
1.88464   0.667385   0.554359   0.554292   0.554597
1.84713   0.765105   0.414283   0.414214   0.414615
1.80455   0.860727   0.25871   0.258641   0.259149
1.75703   0.95399   0.0893452   0.0892781   0.0899021
1.7047   1.04464   -0.0919558   -0.092019   -0.0912707
1.64769   1.13242   -0.283207   -0.283264   -0.282385
1.58616   1.21711   -0.482312   -0.482362   -0.481346
1.52029   1.29845   -0.68709   -0.687131   -0.685975
1.45025   1.37624   -0.895298   -0.895328   -0.894029
1.37624   1.45025   -1.10465   -1.10467   -1.10323
1.29845   1.52029   -1.31286   -1.31287   -1.31128
1.21711   1.58616   -1.51765   -1.51764   -1.51591
1.13242   1.64769   -1.71676   -1.71674   -1.71487
1.04464   1.7047   -1.90802   -1.90798   -1.90599
0.95399   1.75703   -2.08933   -2.08928   -2.08716
0.860727   1.80455   -2.25871   -2.25864   -2.25641
0.765105   1.84713   -2.4143   -2.41421   -2.41187
0.667385   1.88464   -2.5544   -2.55429   -2.55186
0.567836   1.91698   -2.67746   -2.67734   -2.67482
0.466731   1.94407   -2.78215   -2.78201   -2.77942
0.364346   1.96584   -2.86731   -2.86716   -2.86451
0.260963   1.98221   -2.93202   -2.93185   -2.92916
0.156864   1.99315   -2.97556   -2.97538   -2.97265
0.052336   1.99863   -2.99746   -2.99726   -2.99452
-0.052336   1.99863   -2.99747   -2.99726   -2.99452
-0.156864   1.99315   -2.9756   -2.97538   -2.97265
-0.260963   1.98221   -2.93209   -2.93185   -2.92916
-0.364346   1.96584   -2.86741   -2.86716   -2.86451
-0.466731   1.94407   -2.78228   -2.78201   -2.77942
-0.567836   1.91698   -2.67761   -2.67734   -2.67482
-0.667385   1.88464   -2.55457   -2.55429   -2.55186
-0.765105   1.84713   -2.4145   -2.41421   -2.41187
-0.860727   1.80455   -2.25894   -2.25864   -2.25641
-0.95399   1.75703   -2.08958   -2.08928   -2.08716
-1.04464   1.7047   -1.90828   -1.90798   -1.90599
-1.13242   1.64769   -1.71704   -1.71674   -1.71487
-1.21711   1.58616   -1.51794   -1.51764   -1.51591
-1.29845   1.52029   -1.31318   -1.31287   -1.31128
-1.37624   1.45025   -1.10498   -1.10467   -1.10323
-1.45025   1.37624   -0.895629   -0.895328   -0.894029
-1.52029   1.29845   -0.687428   -0.687131   -0.685975
-1.58616   1.21711   -0.482652   -0.482362   -0.481346
-1.64769   1.13242   -0.283546   -0.283264   -0.282385
-1.7047   1.04464   -0.0922916   -0.092019   -0.0912707
-1.75703   0.95399   0.0890169   0.0892781   0.0899021
-1.80455   0.860727   0.258393   0.258641   0.259149
-1.84713   0.765105   0.413981   0.414214   0.414615
-1.88464   0.667385   0.554077   0.554292   0.554597
-1.91698   0.567836   0.677147   0.677341   0.677562
-1.94407   0.466731   0.781842   0.782013   0.782162
-1.96584   0.364346   0.867017   0.867161   0.867252
-1.98221   0.260963   0.931739   0.931852   0.931898
-1.99315   0.156864   0.975302   0.975377   0.975394
-1.99863   0.052336   0.997232   0.997259   0.997261
-1.99863   -0.052336   0.997309   0.997298   0.997261
-1.99315   -0.156864   0.975529   0.975492   0.975394
-1.98221   -0.260963   0.932097   0.932043   0.931898
-1.96584   -0.364346   0.867495   0.867426   0.867252
-1.94407   -0.466731   0.78243   0.782349   0.782162
-1.91698   -0.567836   0.677835   0.677745   0.677562
-1.88464   -0.667385   0.554855   0.554758   0.554597
-1.84713   -0.765105   0.414837   0.414738   0.414615
-1.80455   -0.860727   0.259316   0.259217   0.259149
-1.75703   -0.95399   0.0899949   0.0898996   0.0899021
-1.7047   -1.04464   -0.0912708   -0.0913586   -0.0912707
-1.64769   -1.13242   -0.282495   -0.282572   -0.282385
-1.58616   -1.21711   -0.481584   -0.481646   -0.481346
-1.52029   -1.29845   -0.686355   -0.686399   -0.685975
-1.45025   -1.37624   -0.894566   -0.894588   -0.894029
-1.37624   -1.45025   -1.10393   -1.10393   -1.10323
-1.29845   -1.52029   -1.31217   -1.31214   -1.31128
-1.21711   -1.58616   -1.51698   -1.51692   -1.51591
-1.13242   -1.64769   -1.71614   -1.71604   -1.71487
-1.04464   -1.7047   -1.90745   -1.90732   -1.90599
-0.95399   -1.75703   -2.08882   -2.08866   -2.08716
-0.860727   -1.80455   -2.25826   -2.25806   -2.25641
-0.765105   -1.84713   -2.41393   -2.41369   -2.41187
-0.667385   -1.88464   -2.5541   -2.55383   -2.55186
