x   y   cp calc   cp theor pol   cp theor cart
1.99939   0.0348995   0.998787   0.998782   0.998782
1.99695   0.104656   0.989055   0.989044   0.989047
1.99209   0.174285   0.969637   0.969616   0.969625
1.98479   0.243702   0.940623   0.940591   0.94061
1.97508   0.312821   0.902153   0.902113   0.902143
1.96296   0.38156   0.854415   0.854368   0.854412
1.94844   0.449834   0.797642   0.797588   0.79765
1.93156   0.517559   0.73211   0.732051   0.732132
1.91232   0.584654   0.658139   0.658075   0.658179
1.89075   0.651037   0.576088   0.576022   0.576151
1.86688   0.716627   0.486358   0.48629   0.486446
1.84073   0.781343   0.389386   0.389317   0.389503
1.81234   0.845108   0.285645   0.285575   0.285793
1.78174   0.907843   0.175639   0.175571   0.175822
1.74897   0.969472   0.0599055   0.0598385   0.0601249
1.71407   1.02992   -0.0609926   -0.0610569   -0.0607337
1.67709   1.08911   -0.186466   -0.186527   -0.186165
1.63805   1.14698   -0.315903   -0.31596   -0.315559
1.59703   1.20345   -0.448674   -0.448725   -0.448284
1.55406   1.25845   -0.584131   -0.584177   -0.583694
1.50919   1.31192   -0.721614   -0.721654   -0.721129
1.46248   1.36379   -0.860455   -0.860487   -0.85992
1.414   1.414   -0.999975   -1   -0.999391
1.36379   1.46248   -1.1395   -1.13951   -1.13886
1.31192   1.50919   -1.27834   -1.27835   -1.27765
1.25845   1.55406   -1.41582   -1.41582   -1.41509
1.20345   1.59703   -1.55129   -1.55127   -1.5505
1.14698   1.63805   -1.68406   -1.68404   -1.68322
1.08911   1.67709   -1.8135   -1.81347   -1.81262
1.02992   1.71407   -1.93898   -1.93894   -1.93805
0.969472   1.74897   -2.05989   -2.05984   -2.05891
0.907843   1.78174   -2.17563   -2.17557   -2.1746
0.845108   1.81234   -2.28565   -2.28558   -2.28457
0.781343   1.84073   -2.3894   -2.38932   -2.38828
0.716627   1.86688   -2.48638   -2.48629   -2.48523
0.651037   1.89075   -2.57613   -2.57602   -2.57493
0.584654   1.91232   -2.65819   -2.65808   -2.65696
0.517559   1.93156   -2.73218   -2.73205   -2.73091
0.449834   1.94844   -2.79773   -2.79759   -2.79643
0.38156   1.96296   -2.85452   -2.85437   -2.85319
0.312821   1.97508   -2.90227   -2.90211   -2.90092
0.243702   1.98479   -2.94076   -2.94059   -2.93939
0.174285   1.99209   -2.9698   -2.96962   -2.96841
0.104656   1.99695   -2.98924   -2.98904   -2.98783
0.0348995   1.99939   -2.99898   -2.99878   -2.99756
-0.0348995   1.99939   -2.99899   -2.99878   -2.99756
-0.104656   1.99695   -2.98926   -2.98904   -2.98783
-0.174285   1.99209   -2.96984   -2.96962   -2.96841
-0.243702   1.98479   -2.94083   -2.94059   -2.93939
-0.312821   1.97508   -2.90236   -2.90211   -2.90092
-0.38156   1.96296   -2.85462   -2.85437   -2.85319
-0.449834   1.94844   -2.79785   -2.79759   -2.79643
-0.517559   1.93156   -2.73232   -2.73205   -2.73091
-0.584654   1.91232   -2.65835   -2.65808   -2.65696
-0.651037   1.89075   -2.5763   -2.57602   -2.57493
-0.716627   1.86688   -2.48657   -2.48629   -2.48523
-0.781343   1.84073   -2.3896   -2.38932   -2.38828
-0.845108   1.81234   -2.28587   -2.28558   -2.28457
-0.907843   1.78174   -2.17587   -2.17557   -2.1746
-0.969472   1.74897   -2.06014   -2.05984   -2.05891
-1.02992   1.71407   -1.93924   -1.93894   -1.93805
-1.08911   1.67709   -1.81378   -1.81347   -1.81262
-1.14698   1.63805   -1.68434   -1.68404   -1.68322
-1.20345   1.59703   -1.55158   -1.55127   -1.5505
-1.25845   1.55406   -1.41613   -1.41582   -1.41509
-1.31192   1.50919   -1.27865   -1.27835   -1.27765
-1.36379   1.46248   -1.13982   -1.13951   -1.13886
-1.414   1.414   -1.0003   -1   -0.999391
-1.46248   1.36379   -0.860786   -0.860487   -0.85992
-1.50919   1.31192   -0.72195   -0.721654   -0.721129
-1.55406   1.25845   -0.584469   -0.584177   -0.583694
-1.59703   1.20345   -0.449013   -0.448725   -0.448284
-1.63805   1.14698   -0.316242   -0.31596   -0.315559
-1.67709   1.08911   -0.186803   -0.186527   -0.186165
-1.71407   1.02992   -0.0613269   -0.0610569   -0.0607337
-1.74897   0.969472   0.0595761   0.0598385   0.0601249
-1.78174   0.907843   0.175317   0.175571   0.175822
-1.81234   0.845108   0.285331   0.285575   0.285793
-1.84073   0.781343   0.389082   0.389317   0.389503
-1.86688   0.716627   0.486066   0.48629   0.486446
-1.89075   0.651037   0.575811   0.576022   0.576151
-1.91232   0.584654   0.657878   0.658075   0.658179
-1.93156   0.517559   0.731868   0.732051   0.732132
-1.94844   0.449834   0.797422   0.797588   0.79765
