x   y   cp calc   cp theor pol   cp theor cart
1.99756   0.0697565   0.995141   0.995128   0.995134
1.98783   0.20893   0.956321   0.956295   0.956348
1.96842   0.347085   0.879428   0.879385   0.879532
1.93941   0.483549   0.765951   0.765895   0.76618
1.90095   0.617657   0.618098   0.618034   0.618499
1.85324   0.748757   0.438748   0.43868   0.439363
1.79649   0.876208   0.231392   0.231323   0.232259
1.731   0.999391   6.51083e-05   2.22045e-16   0.00121797
1.65707   1.1177   -0.250729   -0.250787   -0.249263
1.57506   1.23057   -0.516108   -0.516156   -0.51431
1.48538   1.33745   -0.790908   -0.790943   -0.788762
1.38847   1.4378   -1.06978   -1.0698   -1.06728
1.28479   1.53116   -1.34729   -1.3473   -1.34444
1.17485   1.61705   -1.61805   -1.61803   -1.61485
1.05919   1.69506   -1.87678   -1.87674   -1.87324
0.938371   1.76482   -2.11844   -2.11839   -2.11459
0.812978   1.82598   -2.33834   -2.33826   -2.3342
0.683624   1.87824   -2.53219   -2.53209   -2.52779
0.550939   1.92135   -2.69622   -2.6961   -2.69159
0.41557   1.9551   -2.82724   -2.82709   -2.82243
0.278177   1.97933   -2.92269   -2.92252   -2.91775
0.139428   1.99391   -2.98072   -2.98054   -2.97569
3.46945e-16   1.99878   -3.00021   -3   -2.99513
-0.139428   1.99391   -2.98076   -2.98054   -2.97569
-0.278177   1.97933   -2.92277   -2.92252   -2.91775
-0.41557   1.9551   -2.82735   -2.82709   -2.82243
-0.550939   1.92135   -2.69637   -2.6961   -2.69159
-0.683624   1.87824   -2.53237   -2.53209   -2.52779
-0.812978   1.82598   -2.33855   -2.33826   -2.3342
-0.938371   1.76482   -2.11869   -2.11839   -2.11459
-1.05919   1.69506   -1.87705   -1.87674   -1.87324
-1.17485   1.61705   -1.61834   -1.61803   -1.61485
-1.28479   1.53116   -1.3476   -1.3473   -1.34444
-1.38847   1.4378   -1.0701   -1.0698   -1.06728
-1.48538   1.33745   -0.791243   -0.790943   -0.788762
-1.57506   1.23057   -0.516449   -0.516156   -0.51431
-1.65707   1.1177   -0.251069   -0.250787   -0.249263
-1.731   0.999391   -0.000268006   2.22045e-16   0.00121797
-1.79649   0.876208   0.231072   0.231323   0.232259
-1.85324   0.748757   0.43845   0.43868   0.439363
-1.90095   0.617657   0.617829   0.618034   0.618499
-1.93941   0.483549   0.76572   0.765895   0.76618
-1.96842   0.347085   0.879246   0.879385   0.879532
-1.98783   0.20893   0.956201   0.956295   0.956348
-1.99756   0.0697565   0.995093   0.995128   0.995134
-1.99756   -0.0697565   0.995193   0.99518   0.995134
-1.98783   -0.20893   0.956496   0.956449   0.956348
-1.96842   -0.347085   0.879707   0.879639   0.879532
-1.93941   -0.483549   0.766328   0.766243   0.76618
-1.90095   -0.617657   0.618566   0.61847   0.618499
-1.85324   -0.748757   0.439297   0.439194   0.439363
-1.79649   -0.876208   0.23201   0.231907   0.232259
-1.731   -0.999391   0.000738567   0.000641854   0.00121797
-1.65707   -1.1177   -0.250016   -0.2501   -0.249263
-1.57506   -1.23057   -0.515372   -0.515437   -0.51431
-1.48538   -1.33745   -0.790166   -0.790206   -0.788762
-1.38847   -1.4378   -1.06905   -1.06906   -1.06728
-1.28479   -1.53116   -1.34659   -1.34657   -1.34444
-1.17485   -1.61705   -1.6174   -1.61733   -1.61485
-1.05919   -1.69506   -1.87619   -1.87608   -1.87324
-0.938371   -1.76482   -2.11793   -2.11777   -2.11459
-0.812978   -1.82598   -2.33792   -2.33771   -2.3342
-0.683624   -1.87824   -2.53187   -2.53161   -2.52779
-0.550939   -1.92135   -2.69601   -2.6957   -2.69159
-0.41557   -1.9551   -2.82715   -2.82679   -2.82243
-0.278177   -1.97933   -2.92272   -2.92232   -2.91775
-0.139428   -1.99391   -2.98088   -2.98043   -2.97569
-3.67761e-16   -1.99878   -3.00048   -3   -2.99513
0.139428   -1.99391   -2.98115   -2.98064   -2.97569
0.278177   -1.97933   -2.92327   -2.92273   -2.91775
0.41557   -1.9551   -2.82795   -2.82739   -2.82243
0.550939   -1.92135   -2.69706   -2.69649   -2.69159
0.683624   -1.87824   -2.53314   -2.53257   -2.52779
0.812978   -1.82598   -2.33938   -2.33881   -2.3342
0.938371   -1.76482   -2.11956   -2.119   -2.11459
1.05919   -1.69506   -1.87795   -1.87741   -1.87324
1.17485   -1.61705   -1.61925   -1.61874   -1.61485
1.28479   -1.53116   -1.34851   -1.34803   -1.34444
1.38847   -1.4378   -1.07098   -1.07054   -1.06728
1.48538   -1.33745   -0.792074   -0.79168   -0.788762
1.57506   -1.23057   -0.51722   -0.516875   -0.51431
1.65707   -1.1177   -0.251767   -0.251474   -0.249263
1.731   -0.999391   -0.000881789   -0.000641992   0.00121797
1.79649   -0.876208   0.230552   0.230739   0.232259
1.85324   -0.748757   0.438029   0.438165   0.439363
1.90095   -0.617657   0.61751   0.617598   0.618499
1.93941   -0.483549   0.7655   0.765547   0.76618
1.96842   -0.347085   0.879117   0.879132   0.879532
1.98783   -0.20893   0.956147   0.956141   0.956348
1.99756   -0.0697565   0.995083   0.995076   0.995134
