x   y   cp calc   cp theor pol   cp theor cart
1.99211   0.125333   0.984256   0.984229   0.984292
1.9607   0.374023   0.859599   0.859553   0.860107
1.89836   0.616814   0.618098   0.618034   0.61954
1.80608   0.849878   0.274917   0.274848   0.277707
1.68532   1.06954   -0.148381   -0.148441   -0.143914
1.53799   1.27233   -0.625195   -0.625237   -0.61883
1.36639   1.45506   -1.12557   -1.12558   -1.1172
1.17325   1.61484   -1.61805   -1.61803   -1.60771
0.961606   1.74915   -2.07171   -2.07165   -2.05954
0.734796   1.85588   -2.45803   -2.45794   -2.4443
0.496398   1.93334   -2.75275   -2.75261   -2.73782
0.250172   1.98031   -2.93734   -2.93717   -2.92164
1.249e-16   1.99605   -3.00021   -3   -2.98423
-0.250172   1.98031   -2.93741   -2.93717   -2.92164
-0.496398   1.93334   -2.75288   -2.75261   -2.73782
-0.734796   1.85588   -2.45823   -2.45794   -2.4443
-0.961606   1.74915   -2.07196   -2.07165   -2.05954
-1.17325   1.61484   -1.61835   -1.61803   -1.60771
-1.36639   1.45506   -1.12589   -1.12558   -1.1172
-1.53799   1.27233   -0.625537   -0.625237   -0.61883
-1.68532   1.06954   -0.148721   -0.148441   -0.143914
-1.80608   0.849878   0.274599   0.274848   0.277707
-1.89836   0.616814   0.617828   0.618034   0.61954
-1.9607   0.374023   0.859407   0.859553   0.860107
-1.99211   0.125333   0.984173   0.984229   0.984292
-1.99211   -0.125333   0.984343   0.984322   0.984292
-1.9607   -0.374023   0.859902   0.859826   0.860107
-1.89836   -0.616814   0.618575   0.61847   0.61954
-1.80608   -0.849878   0.275535   0.275419   0.277707
-1.68532   -1.06954   -0.147665   -0.147771   -0.143914
-1.53799   -1.27233   -0.624435   -0.624509   -0.61883
-1.36639   -1.45506   -1.12482   -1.12484   -1.1172
-1.17325   -1.61484   -1.61738   -1.61733   -1.60771
-0.961606   -1.74915   -2.07116   -2.07103   -2.05954
-0.734796   -1.85588   -2.45765   -2.45743   -2.4443
-0.496398   -1.93334   -2.75256   -2.75226   -2.73782
-0.250172   -1.98031   -2.93737   -2.93698   -2.92164
-3.747e-16   -1.99605   -3.00047   -3   -2.98423
0.250172   -1.98031   -2.93787   -2.93735   -2.92164
0.496398   -1.93334   -2.75353   -2.75297   -2.73782
0.734796   -1.85588   -2.45901   -2.45844   -2.4443
0.961606   -1.74915   -2.07283   -2.07228   -2.05954
1.17325   -1.61484   -1.61925   -1.61874   -1.60771
1.36639   -1.45506   -1.12677   -1.12632   -1.1172
1.53799   -1.27233   -0.626333   -0.625965   -0.61883
1.68532   -1.06954   -0.149388   -0.149112   -0.143914
1.80608   -0.849878   0.274096   0.274277   0.277707
1.89836   -0.616814   0.617505   0.617598   0.61954
1.9607   -0.374023   0.859255   0.85928   0.860107
1.99211   -0.125333   0.98414   0.984136   0.984292
