x   y   cp calc   cp theor pol   cp theor cart
1.99932   0.0369515   0.998639   0.998634   0.998635
1.99659   0.110804   0.987731   0.987718   0.987722
1.99113   0.184505   0.965969   0.965946   0.965958
1.98295   0.257954   0.93347   0.933437   0.93346
1.97206   0.331051   0.89041   0.890368   0.890405
1.95849   0.403696   0.837024   0.836974   0.83703
1.94223   0.475789   0.773603   0.773547   0.773625
1.92332   0.547233   0.700495   0.700434   0.700537
1.90179   0.617928   0.618099   0.618034   0.618164
1.87766   0.68778   0.526864   0.526797   0.526958
1.85096   0.756693   0.42729   0.42722   0.427416
1.82173   0.824572   0.319919   0.319849   0.320081
1.79002   0.891324   0.205338   0.205269   0.205541
1.75586   0.95686   0.0841741   0.0841067   0.0844195
1.71931   1.02109   -0.0429121   -0.0429769   -0.0426207
1.6804   1.08392   -0.175226   -0.175287   -0.174886
1.6392   1.14527   -0.312046   -0.312102   -0.311654
1.59576   1.20506   -0.452623   -0.452674   -0.452178
1.55014   1.26321   -0.59619   -0.596235   -0.59569
1.50241   1.31962   -0.741963   -0.742002   -0.741407
1.45262   1.37424   -0.889146   -0.889177   -0.888532
1.40085   1.42698   -1.03694   -1.03696   -1.03626
1.34716   1.47777   -1.18452   -1.18454   -1.18379
1.29164   1.52654   -1.3311   -1.33111   -1.33031
1.23435   1.57322   -1.47588   -1.47587   -1.47502
1.17537   1.61776   -1.61805   -1.61803   -1.61714
1.11479   1.66008   -1.75685   -1.75682   -1.75588
1.05268   1.70014   -1.89151   -1.89148   -1.89049
0.989143   1.73788   -2.02131   -2.02126   -2.02023
0.92425   1.77324   -2.14553   -2.14547   -2.1444
0.858095   1.80619   -2.26349   -2.26342   -2.26231
0.790767   1.83666   -2.37456   -2.37447   -2.37332
0.72236   1.86463   -2.47811   -2.47802   -2.47683
0.652966   1.89004   -2.5736   -2.57349   -2.57227
0.58268   1.91288   -2.66049   -2.66037   -2.65912
0.511598   1.93311   -2.73831   -2.73818   -2.7369
0.439818   1.95069   -2.80664   -2.80649   -2.80519
0.367436   1.96561   -2.8651   -2.86494   -2.86362
0.294553   1.97785   -2.91337   -2.91321   -2.91187
0.221268   1.98738   -2.9512   -2.95102   -2.94967
0.14768   1.9942   -2.97837   -2.97818   -2.97682
0.0738904   1.99829   -2.99473   -2.99454   -2.99317
1.249e-16   1.99966   -3.00021   -3   -2.99863
-0.0738904   1.99829   -2.99475   -2.99454   -2.99317
-0.14768   1.9942   -2.97841   -2.97818   -2.97682
-0.221268   1.98738   -2.95126   -2.95102   -2.94967
-0.294553   1.97785   -2.91345   -2.91321   -2.91187
-0.367436   1.96561   -2.8652   -2.86494   -2.86362
-0.439818   1.95069   -2.80675   -2.80649   -2.80519
-0.511598   1.93311   -2.73844   -2.73818   -2.7369
-0.58268   1.91288   -2.66064   -2.66037   -2.65912
-0.652966   1.89004   -2.57377   -2.57349   -2.57227
-0.72236   1.86463   -2.4783   -2.47802   -2.47683
-0.790767   1.83666   -2.37476   -2.37447   -2.37332
-0.858095   1.80619   -2.26372   -2.26342   -2.26231
-0.92425   1.77324   -2.14577   -2.14547   -2.1444
-0.989143   1.73788   -2.02156   -2.02126   -2.02023
-1.05268   1.70014   -1.89178   -1.89148   -1.89049
-1.11479   1.66008   -1.75713   -1.75682   -1.75588
-1.17537   1.61776   -1.61834   -1.61803   -1.61714
-1.23435   1.57322   -1.47618   -1.47587   -1.47502
-1.29164   1.52654   -1.33141   -1.33111   -1.33031
-1.34716   1.47777   -1.18484   -1.18454   -1.18379
-1.40085   1.42698   -1.03726   -1.03696   -1.03626
-1.45262   1.37424   -0.889477   -0.889177   -0.888532
-1.50241   1.31962   -0.742299   -0.742002   -0.741407
-1.55014   1.26321   -0.596528   -0.596235   -0.59569
-1.59576   1.20506   -0.452962   -0.452674   -0.452178
-1.6392   1.14527   -0.312385   -0.312102   -0.311654
-1.6804   1.08392   -0.175564   -0.175287   -0.174886
-1.71931   1.02109   -0.0432459   -0.0429769   -0.0426207
-1.75586   0.95686   0.0838459   0.0841067   0.0844195
-1.79002   0.891324   0.205018   0.205269   0.205541
-1.82173   0.824572   0.319607   0.319849   0.320081
-1.85096   0.756693   0.42699   0.42722   0.427416
-1.87766   0.68778   0.526579   0.526797   0.526958
-1.90179   0.617928   0.61783   0.618034   0.618164
-1.92332   0.547233   0.700245   0.700434   0.700537
-1.94223   0.475789   0.773374   0.773547   0.773625
-1.95849   0.403696   0.836819   0.836974   0.83703
-1.97206   0.331051   0.890233   0.890368   0.890405
-1.98295   0.257954   0.933325   0.933437   0.93346
-1.99113   0.184505   0.96586   0.965946   0.965958
-1.99659   0.110804   0.987661   0.987718   0.987722
-1.99932   0.0369515   0.998614   0.998634   0.998635
-1.99932   -0.0369515   0.99867   0.998661   0.998635
-1.99659   -0.110804   0.987828   0.9878   0.987722
-1.99113   -0.184505   0.966123   0.966082   0.965958
-1.98295   -0.257954   0.933679   0.933626   0.93346
-1.97206   -0.331051   0.890672   0.89061   0.890405
-1.95849   -0.403696   0.837339   0.837267   0.83703
-1.94223   -0.475789   0.773969   0.77389   0.773625
-1.92332   -0.547233   0.70091   0.700824   0.700537
-1.90179   -0.617928   0.618561   0.61847   0.618164
-1.87766   -0.68778   0.52737   0.527275   0.526958
-1.85096   -0.756693   0.427836   0.427739   0.427416
-1.82173   -0.824572   0.320502   0.320406   0.320081
-1.79002   -0.891324   0.205955   0.205861   0.205541
-1.75586   -0.95686   0.0848206   0.0847295   0.0844195
-1.71931   -1.02109   -0.0422402   -0.0423261   -0.0426207
-1.6804   -1.08392   -0.174533   -0.174612   -0.174886
-1.6392   -1.14527   -0.311336   -0.311406   -0.311654
-1.59576   -1.20506   -0.451902   -0.451961   -0.452178
-1.55014   -1.26321   -0.595462   -0.595509   -0.59569
-1.50241   -1.31962   -0.741233   -0.741267   -0.741407
-1.45262   -1.37424   -0.888419   -0.888437   -0.888532
-1.40085   -1.42698   -1.03622   -1.03622   -1.03626
-1.34716   -1.47777   -1.18382   -1.1838   -1.18379
-1.29164   -1.52654   -1.33042   -1.33038   -1.33031
-1.23435   -1.57322   -1.47521   -1.47515   -1.47502
-1.17537   -1.61776   -1.61741   -1.61733   -1.61714
-1.11479   -1.66008   -1.75624   -1.75614   -1.75588
-1.05268   -1.70014   -1.89094   -1.89081   -1.89049
-0.989143   -1.73788   -2.02078   -2.02063   -2.02023
-0.92425   -1.77324   -2.14504   -2.14486   -2.1444
-0.858095   -1.80619   -2.26305   -2.26285   -2.26231
-0.790767   -1.83666   -2.37417   -2.37393   -2.37332
-0.72236   -1.86463   -2.47778   -2.47752   -2.47683
-0.652966   -1.89004   -2.57332   -2.57303   -2.57227
-0.58268   -1.91288   -2.66027   -2.65995   -2.65912
-0.511598   -1.93311   -2.73815   -2.73781   -2.7369
-0.439818   -1.95069   -2.80654   -2.80618   -2.80519
-0.367436   -1.96561   -2.86506   -2.86468   -2.86362
-0.294553   -1.97785   -2.9134   -2.91299   -2.91187
-0.221268   -1.98738   -2.95129   -2.95086   -2.94967
-0.14768   -1.9942   -2.97853   -2.97807   -2.97682
-0.0738904   -1.99829   -2.99496   -2.99448   -2.99317
-3.67761e-16   -1.99966   -3.00049   -3   -2.99863
0.0738904   -1.99829   -2.9951   -2.99459   -2.99317
0.14768   -1.9942   -2.97882   -2.97829   -2.97682
0.221268   -1.98738   -2.95173   -2.95119   -2.94967
0.294553   -1.97785   -2.91398   -2.91342   -2.91187
0.367436   -1.96561   -2.86577   -2.86521   -2.86362
0.439818   -1.95069   -2.80738   -2.80681   -2.80519
0.511598   -1.93311   -2.73912   -2.73854   -2.7369
0.58268   -1.91288   -2.66136   -2.66078   -2.65912
0.652966   -1.89004   -2.57453   -2.57395   -2.57227
0.72236   -1.86463   -2.4791   -2.47852   -2.47683
0.790767   -1.83666   -2.37559   -2.37501   -2.37332
0.858095   -1.80619   -2.26457   -2.264   -2.26231
0.92425   -1.77324   -2.14664   -2.14608   -2.1444
0.989143   -1.73788   -2.02245   -2.0219   -2.02023
1.05268   -1.70014   -1.89268   -1.89214   -1.89049
1.11479   -1.66008   -1.75804   -1.75751   -1.75588
1.17537   -1.61776   -1.61925   -1.61874   -1.61714
1.23435   -1.57322   -1.47709   -1.47659   -1.47502
1.29164   -1.52654   -1.33232   -1.33184   -1.33031
1.34716   -1.47777   -1.18573   -1.18527   -1.18379
1.40085   -1.42698   -1.03813   -1.0377   -1.03626
1.45262   -1.37424   -0.890326   -0.889917   -0.888532
1.50241   -1.31962   -0.74312   -0.742737   -0.741407
1.55014   -1.26321   -0.597319   -0.596961   -0.59569
1.59576   -1.20506   -0.453718   -0.453387   -0.452178
1.6392   -1.14527   -0.313101   -0.312798   -0.311654
