x   y   cp calc   cp theor pol   cp theor cart
1.99899   0.0448648   0.997993   0.997986   0.997987
1.99497   0.134504   0.981915   0.9819   0.981909
1.98692   0.223873   0.949884   0.949856   0.949881
1.97488   0.31279   0.902153   0.902113   0.902162
1.95886   0.401078   0.839105   0.839056   0.839137
1.93889   0.488558   0.761248   0.761191   0.761311
1.91502   0.575054   0.669209   0.669147   0.669313
1.88729   0.660392   0.56373   0.563663   0.563883
1.85576   0.7444   0.445659   0.44559   0.445869
1.8205   0.826909   0.315947   0.315877   0.316222
1.78156   0.907752   0.175639   0.175571   0.175986
1.73904   0.986768   0.0258647   0.0257986   0.026289
1.69302   1.0638   -0.13217   -0.132233   -0.131662
1.64359   1.13868   -0.297193   -0.29725   -0.296597
1.59085   1.21128   -0.467876   -0.467926   -0.467187
1.5349   1.28143   -0.642843   -0.642886   -0.642059
1.47587   1.349   -0.820687   -0.820721   -0.819805
1.41386   1.41386   -0.999975   -1   -0.998993
1.349   1.47587   -1.17926   -1.17928   -1.17818
1.28143   1.5349   -1.35711   -1.35711   -1.35593
1.21128   1.59085   -1.53208   -1.53207   -1.5308
1.13868   1.64359   -1.70277   -1.70275   -1.70139
1.0638   1.69302   -1.8678   -1.86777   -1.86632
0.986768   1.73904   -2.02585   -2.0258   -2.02428
0.907752   1.78156   -2.17563   -2.17557   -2.17397
0.826909   1.8205   -2.31595   -2.31588   -2.31421
0.7444   1.85576   -2.44568   -2.44559   -2.44385
0.660392   1.88729   -2.56377   -2.56366   -2.56187
0.575054   1.91502   -2.66927   -2.66915   -2.6673
0.488558   1.93889   -2.76132   -2.76119   -2.7593
0.401078   1.95886   -2.8392   -2.83906   -2.83712
0.31279   1.97488   -2.90227   -2.90211   -2.90015
0.223873   1.98692   -2.95003   -2.94986   -2.94787
0.134504   1.99497   -2.98209   -2.9819   -2.97989
0.0448648   1.99899   -2.99819   -2.99799   -2.99597
-0.0448648   1.99899   -2.9982   -2.99799   -2.99597
-0.134504   1.99497   -2.98212   -2.9819   -2.97989
-0.223873   1.98692   -2.95009   -2.94986   -2.94787
-0.31279   1.97488   -2.90236   -2.90211   -2.90015
