x   y   cp calc   cp theor pol   cp theor cart
1.99945   0.0330634   0.998911   0.998907   0.998907
1.99727   0.099154   0.990176   0.990166   0.990168
1.9929   0.165136   0.972743   0.972723   0.97273
1.98635   0.230938   0.946683   0.946653   0.946668
1.97763   0.296487   0.912109   0.912072   0.912096
1.96674   0.361712   0.869174   0.869129   0.869165
1.95371   0.426541   0.818065   0.818013   0.818063
1.93854   0.490904   0.759005   0.758948   0.759013
1.92124   0.55473   0.692252   0.692191   0.692275
1.90185   0.61795   0.618099   0.618034   0.618138
1.88038   0.680493   0.53687   0.536802   0.536929
1.85685   0.742293   0.44892   0.44885   0.449001
1.8313   0.803281   0.354633   0.354563   0.35474
1.80374   0.863391   0.254422   0.254353   0.254557
1.7742   0.922556   0.148726   0.148657   0.14889
1.74273   0.980713   0.0380057   0.0379391   0.0382021
1.70935   1.0378   -0.0772537   -0.0773177   -0.0770232
1.6741   1.09375   -0.196549   -0.196609   -0.196282
1.63703   1.1485   -0.319357   -0.319414   -0.319053
1.59816   1.202   -0.445143   -0.445194   -0.444799
1.55754   1.25418   -0.573354   -0.573401   -0.572971
1.51522   1.30499   -0.703432   -0.703473   -0.703007
1.47125   1.35438   -0.834808   -0.834841   -0.83434
1.42566   1.40228   -0.966905   -0.966932   -0.966394
1.37852   1.44865   -1.09915   -1.09917   -1.09859
1.32987   1.49344   -1.23096   -1.23097   -1.23036
1.27976   1.53659   -1.36176   -1.36176   -1.36112
1.22826   1.57807   -1.49098   -1.49097   -1.49029
1.17541   1.61781   -1.61805   -1.61803   -1.61732
1.12128   1.65579   -1.74242   -1.74239   -1.74164
1.06592   1.69196   -1.86354   -1.86351   -1.86273
1.00939   1.72628   -1.98089   -1.98085   -1.98003
0.951765   1.75871   -2.09395   -2.0939   -2.09305
0.893096   1.78921   -2.20223   -2.20216   -2.20129
0.83345   1.81776   -2.30525   -2.30517   -2.30427
0.772893   1.84433   -2.40256   -2.40247   -2.40154
0.71149   1.86887   -2.49374   -2.49364   -2.49269
0.64931   1.89138   -2.57839   -2.57828   -2.5773
0.58642   1.91181   -2.65613   -2.65602   -2.65502
0.522888   1.93015   -2.72664   -2.72651   -2.72549
0.458785   1.94639   -2.7896   -2.78946   -2.78842
0.39418   1.96049   -2.84473   -2.84458   -2.84353
0.329144   1.97245   -2.89179   -2.89163   -2.89057
0.263748   1.98226   -2.93059   -2.93042   -2.92934
0.198064   1.98989   -2.96094   -2.96076   -2.95968
0.132163   1.99535   -2.98272   -2.98253   -2.98144
0.0661177   1.99863   -2.99582   -2.99563   -2.99453
-1.00614e-16   1.99973   -3.00021   -3   -2.99891
-0.0661177   1.99863   -2.99584   -2.99563   -2.99453
-0.132163   1.99535   -2.98275   -2.98253   -2.98144
-0.198064   1.98989   -2.96099   -2.96076   -2.95968
-0.263748   1.98226   -2.93066   -2.93042   -2.92934
-0.329144   1.97245   -2.89188   -2.89163   -2.89057
-0.39418   1.96049   -2.84483   -2.84458   -2.84353
-0.458785   1.94639   -2.78972   -2.78946   -2.78842
-0.522888   1.93015   -2.72678   -2.72651   -2.72549
-0.58642   1.91181   -2.65629   -2.65602   -2.65502
-0.64931   1.89138   -2.57856   -2.57828   -2.5773
-0.71149   1.86887   -2.49393   -2.49364   -2.49269
-0.772893   1.84433   -2.40276   -2.40247   -2.40154
-0.83345   1.81776   -2.30546   -2.30517   -2.30427
-0.893096   1.78921   -2.20246   -2.20216   -2.20129
-0.951765   1.75871   -2.09419   -2.0939   -2.09305
-1.00939   1.72628   -1.98115   -1.98085   -1.98003
-1.06592   1.69196   -1.86381   -1.86351   -1.86273
-1.12128   1.65579   -1.7427   -1.74239   -1.74164
-1.17541   1.61781   -1.61834   -1.61803   -1.61732
-1.22826   1.57807   -1.49128   -1.49097   -1.49029
-1.27976   1.53659   -1.36207   -1.36176   -1.36112
-1.32987   1.49344   -1.23127   -1.23097   -1.23036
-1.37852   1.44865   -1.09947   -1.09917   -1.09859
-1.42566   1.40228   -0.967233   -0.966932   -0.966394
-1.47125   1.35438   -0.83514   -0.834841   -0.83434
-1.51522   1.30499   -0.703768   -0.703473   -0.703007
-1.55754   1.25418   -0.573693   -0.573401   -0.572971
-1.59816   1.202   -0.445482   -0.445194   -0.444799
-1.63703   1.1485   -0.319696   -0.319414   -0.319053
-1.6741   1.09375   -0.196886   -0.196609   -0.196282
-1.70935   1.0378   -0.0775885   -0.0773177   -0.0770232
-1.74273   0.980713   0.0376754   0.0379391   0.0382021
-1.7742   0.922556   0.148401   0.148657   0.14889
-1.80374   0.863391   0.254105   0.254353   0.254557
-1.8313   0.803281   0.354325   0.354563   0.35474
-1.85685   0.742293   0.448623   0.44885   0.449001
-1.88038   0.680493   0.536586   0.536802   0.536929
-1.90185   0.61795   0.61783   0.618034   0.618138
-1.92124   0.55473   0.692   0.692191   0.692275
-1.93854   0.490904   0.758771   0.758948   0.759013
-1.95371   0.426541   0.817852   0.818013   0.818063
-1.96674   0.361712   0.868986   0.869129   0.869165
-1.97763   0.296487   0.911947   0.912072   0.912096
-1.98635   0.230938   0.94655   0.946653   0.946668
-1.9929   0.165136   0.972643   0.972723   0.97273
-1.99727   0.099154   0.990114   0.990166   0.990168
-1.99945   0.0330634   0.998888   0.998907   0.998907
-1.99945   -0.0330634   0.998939   0.998931   0.998907
-1.99727   -0.099154   0.990264   0.990239   0.990168
