x   y   cp calc   cp theor pol   cp theor cart
1.99951   0.0314108   0.999017   0.999013   0.999013
1.99753   0.0942013   0.991134   0.991124   0.991126
1.99359   0.156899   0.975396   0.975377   0.975383
1.98768   0.219442   0.951861   0.951834   0.951845
1.9798   0.281768   0.920624   0.920587   0.920607
1.96998   0.343816   0.881805   0.881762   0.881791
1.9582   0.405525   0.835559   0.835509   0.83555
1.9445   0.466833   0.782068   0.782013   0.782067
1.92888   0.527681   0.721544   0.721484   0.721553
1.91135   0.588008   0.654225   0.654161   0.654246
1.89194   0.647755   0.580377   0.58031   0.580414
1.87066   0.706862   0.500291   0.500222   0.500345
1.84753   0.765272   0.414283   0.414214   0.414358
1.82258   0.822927   0.322694   0.322624   0.322791
1.79583   0.87977   0.225884   0.225814   0.226005
1.76731   0.935744   0.124235   0.124167   0.124383
1.73705   0.990795   0.0181491   0.0180828   0.0183251
1.70507   1.04487   -0.0919554   -0.092019   -0.0917496
1.67141   1.09791   -0.205644   -0.205704   -0.205407
1.6361   1.14987   -0.322468   -0.322524   -0.322198
1.59917   1.20069   -0.441966   -0.442018   -0.441662
1.56067   1.25033   -0.563667   -0.563714   -0.563328
1.52062   1.29874   -0.68709   -0.687131   -0.686715
1.47908   1.34586   -0.811748   -0.811783   -0.811336
1.43608   1.39165   -0.93715   -0.937178   -0.936701
1.39165   1.43608   -1.0628   -1.06282   -1.06231
1.34586   1.47908   -1.1882   -1.18822   -1.18768
1.29874   1.52062   -1.31286   -1.31287   -1.3123
1.25033   1.56067   -1.43629   -1.43629   -1.43569
1.20069   1.59917   -1.55799   -1.55798   -1.55735
1.14987   1.6361   -1.6775   -1.67748   -1.67682
1.09791   1.67141   -1.79432   -1.7943   -1.79361
1.04487   1.70507   -1.90802   -1.90798   -1.90726
0.990795   1.73705   -2.01813   -2.01808   -2.01734
0.935744   1.76731   -2.12422   -2.12417   -2.1234
0.87977   1.79583   -2.22588   -2.22581   -2.22502
0.822927   1.82258   -2.3227   -2.32262   -2.3218
0.765272   1.84753   -2.4143   -2.41421   -2.41337
0.706862   1.87066   -2.50032   -2.50022   -2.49936
0.647755   1.89194   -2.58042   -2.58031   -2.57943
0.588008   1.91135   -2.65428   -2.65416   -2.65326
0.527681   1.92888   -2.72161   -2.72148   -2.72057
0.466833   1.9445   -2.78215   -2.78201   -2.78108
0.405525   1.9582   -2.83566   -2.83551   -2.83456
0.343816   1.96998   -2.88192   -2.88176   -2.8808
0.281768   1.9798   -2.92075   -2.92059   -2.91962
0.219442   1.98768   -2.95201   -2.95183   -2.95086
0.156899   1.99359   -2.97556   -2.97538   -2.9744
0.0942013   1.99753   -2.99132   -2.99112   -2.99014
0.0314108   1.99951   -2.99921   -2.99901   -2.99803
-0.0314108   1.99951   -2.99922   -2.99901   -2.99803
-0.0942013   1.99753   -2.99134   -2.99112   -2.99014
-0.156899   1.99359   -2.9756   -2.97538   -2.9744
-0.219442   1.98768   -2.95207   -2.95183   -2.95086
-0.281768   1.9798   -2.92083   -2.92059   -2.91962
-0.343816   1.96998   -2.88201   -2.88176   -2.8808
-0.405525   1.9582   -2.83576   -2.83551   -2.83456
-0.466833   1.9445   -2.78227   -2.78201   -2.78108
-0.527681   1.92888   -2.72175   -2.72148   -2.72057
-0.588008   1.91135   -2.65443   -2.65416   -2.65326
-0.647755   1.89194   -2.58059   -2.58031   -2.57943
-0.706862   1.87066   -2.5005   -2.50022   -2.49936
