x   y   cp calc   cp theor pol   cp theor cart
1.99923   0.0392598   0.998464   0.998458   0.998459
1.99615   0.117719   0.98615   0.986137   0.986142
1.98999   0.195996   0.961595   0.961571   0.961585
1.98076   0.273972   0.924945   0.92491   0.924939
1.96847   0.351525   0.876427   0.876383   0.87643
1.95316   0.428536   0.816338   0.816286   0.816357
1.93483   0.504886   0.74505   0.744992   0.74509
1.91351   0.580457   0.663002   0.662939   0.663069
1.88925   0.655134   0.5707   0.570634   0.570799
1.86207   0.7288   0.468714   0.468645   0.46885
1.83202   0.801343   0.357671   0.357601   0.357849
1.79915   0.87265   0.238257   0.238188   0.238482
1.7635   0.942612   0.111208   0.11114   0.111483
1.72514   1.01112   -0.0226924   -0.0227575   -0.0223633
1.68411   1.07807   -0.162619   -0.162681   -0.162232
1.64049   1.14336   -0.307709   -0.307766   -0.307262
1.59433   1.20688   -0.457068   -0.457119   -0.456557
1.54572   1.26854   -0.609775   -0.609819   -0.609199
1.49473   1.32825   -0.764888   -0.764925   -0.764245
1.44143   1.38591   -0.921451   -0.92148   -0.92074
1.38591   1.44143   -1.0785   -1.07852   -1.07772
1.32825   1.49473   -1.23506   -1.23507   -1.23421
1.26854   1.54572   -1.39018   -1.39018   -1.38926
1.20688   1.59433   -1.54289   -1.54288   -1.5419
1.14336   1.64049   -1.69226   -1.69223   -1.6912
1.07807   1.68411   -1.83735   -1.83732   -1.83623
1.01112   1.72514   -1.97729   -1.97724   -1.97609
0.942612   1.7635   -2.1112   -2.11114   -2.10994
0.87265   1.79915   -2.23826   -2.23819   -2.23694
0.801343   1.83202   -2.35768   -2.3576   -2.35631
0.7288   1.86207   -2.46874   -2.46865   -2.46731
0.655134   1.88925   -2.57074   -2.57063   -2.56926
0.580457   1.91351   -2.66306   -2.66294   -2.66153
0.504886   1.93483   -2.74512   -2.74499   -2.74355
0.428536   1.95316   -2.81643   -2.81629   -2.81482
0.351525   1.96847   -2.87654   -2.87638   -2.87489
0.273972   1.98076   -2.92508   -2.92491   -2.9234
0.195996   1.98999   -2.96175   -2.96157   -2.96004
0.117719   1.99615   -2.98633   -2.98614   -2.9846
0.0392598   1.99923   -2.99866   -2.99846   -2.99692
-0.0392598   1.99923   -2.99867   -2.99846   -2.99692
-0.117719   1.99615   -2.98636   -2.98614   -2.9846
-0.195996   1.98999   -2.9618   -2.96157   -2.96004
-0.273972   1.98076   -2.92515   -2.92491   -2.9234
-0.351525   1.96847   -2.87663   -2.87638   -2.87489
-0.428536   1.95316   -2.81654   -2.81629   -2.81482
-0.504886   1.93483   -2.74526   -2.74499   -2.74355
-0.580457   1.91351   -2.66321   -2.66294   -2.66153
-0.655134   1.88925   -2.57091   -2.57063   -2.56926
-0.7288   1.86207   -2.46893   -2.46865   -2.46731
-0.801343   1.83202   -2.35789   -2.3576   -2.35631
-0.87265   1.79915   -2.23848   -2.23819   -2.23694
-0.942612   1.7635   -2.11144   -2.11114   -2.10994
-1.01112   1.72514   -1.97754   -1.97724   -1.97609
-1.07807   1.68411   -1.83762   -1.83732   -1.83623
-1.14336   1.64049   -1.69254   -1.69223   -1.6912
-1.20688   1.59433   -1.54319   -1.54288   -1.5419
-1.26854   1.54572   -1.39049   -1.39018   -1.38926
-1.32825   1.49473   -1.23538   -1.23507   -1.23421
-1.38591   1.44143   -1.07882   -1.07852   -1.07772
-1.44143   1.38591   -0.921781   -0.92148   -0.92074
-1.49473   1.32825   -0.765223   -0.764925   -0.764245
-1.54572   1.26854   -0.610113   -0.609819   -0.609199
-1.59433   1.20688   -0.457408   -0.457119   -0.456557
-1.64049   1.14336   -0.308049   -0.307766   -0.307262
-1.68411   1.07807   -0.162956   -0.162681   -0.162232
-1.72514   1.01112   -0.0230254   -0.0227575   -0.0223633
-1.7635   0.942612   0.110881   0.11114   0.111483
-1.79915   0.87265   0.237939   0.238188   0.238482
-1.83202   0.801343   0.357364   0.357601   0.357849
-1.86207   0.7288   0.468419   0.468645   0.46885
-1.88925   0.655134   0.570422   0.570634   0.570799
-1.91351   0.580457   0.662743   0.662939   0.663069
-1.93483   0.504886   0.744812   0.744992   0.74509
-1.95316   0.428536   0.816125   0.816286   0.816357
-1.96847   0.351525   0.876242   0.876383   0.87643
-1.98076   0.273972   0.924793   0.92491   0.924939
-1.98999   0.195996   0.96148   0.961571   0.961585
-1.99615   0.117719   0.986077   0.986137   0.986142
-1.99923   0.0392598   0.998437   0.998458   0.998459
-1.99923   -0.0392598   0.998496   0.998487   0.998459
-1.99615   -0.117719   0.986253   0.986224   0.986142
