x   y   cp calc   cp theor pol   cp theor cart
1.98769   0.156434   0.975412   0.975377   0.975528
1.93874   0.465451   0.782069   0.782013   0.783355
1.84206   0.763007   0.414282   0.414214   0.41782
1.70002   1.04178   -0.0919567   -0.092019   -0.0852967
1.51612   1.29489   -0.687092   -0.687131   -0.676745
1.29489   1.51612   -1.31287   -1.31287   -1.29863
1.04178   1.70002   -1.90802   -1.90798   -1.89008
0.763007   1.84206   -2.41431   -2.41421   -2.3932
0.465451   1.93874   -2.78216   -2.78201   -2.75873
0.156434   1.98769   -2.97557   -2.97538   -2.9509
-0.156434   1.98769   -2.97561   -2.97538   -2.9509
-0.465451   1.93874   -2.78228   -2.78201   -2.75873
-0.763007   1.84206   -2.41451   -2.41421   -2.3932
-1.04178   1.70002   -1.90829   -1.90798   -1.89008
-1.29489   1.51612   -1.31318   -1.31287   -1.29863
-1.51612   1.29489   -0.687435   -0.687131   -0.676745
-1.70002   1.04178   -0.0922972   -0.092019   -0.0852967
-1.84206   0.763007   0.413978   0.414214   0.41782
-1.93874   0.465451   0.781842   0.782013   0.783355
-1.98769   0.156434   0.975309   0.975377   0.975528
-1.98769   -0.156434   0.975517   0.975492   0.975528
-1.93874   -0.465451   0.782442   0.782349   0.783355
-1.84206   -0.763007   0.414858   0.414738   0.41782
-1.70002   -1.04178   -0.0912419   -0.0913586   -0.0852967
-1.51612   -1.29489   -0.686319   -0.686399   -0.676745
-1.29489   -1.51612   -1.31213   -1.31214   -1.29863
-1.04178   -1.70002   -1.9074   -1.90732   -1.89008
-0.763007   -1.84206   -2.41388   -2.41369   -2.3932
-0.465451   -1.93874   -2.78198   -2.78168   -2.75873
-0.156434   -1.98769   -2.97567   -2.97526   -2.9509
0.156434   -1.98769   -2.97599   -2.97549   -2.9509
0.465451   -1.93874   -2.7829   -2.78235   -2.75873
0.763007   -1.84206   -2.4153   -2.41474   -2.3932
1.04178   -1.70002   -1.90918   -1.90864   -1.89008
1.29489   -1.51612   -1.31407   -1.3136   -1.29863
1.51612   -1.29489   -0.688243   -0.687863   -0.676745
1.70002   -1.04178   -0.0929454   -0.0926795   -0.0852967
1.84206   -0.763007   0.41354   0.413689   0.41782
1.93874   -0.465451   0.781627   0.781676   0.783355
1.98769   -0.156434   0.97526   0.975261   0.975528
